,ID,Fwy,Dir,District,Latitude,Longitude
173,764578,405,S,7,33.965086,-118.370528
174,717758,405,N,7,33.890483,-118.360485
175,718265,405,S,7,33.864701,-118.327312
176,774105,405,S,7,33.990121,-118.401139
177,717760,405,N,7,33.8919,-118.362464
178,771917,405,N,7,33.825932,-118.233155
179,769265,405,N,7,33.971707,-118.377522
180,772454,405,S,7,34.019097,-118.424066
181,717707,405,N,7,33.805639,-118.141821
182,762533,405,N,7,33.814416,-118.177538
183,718287,405,S,7,33.971543,-118.377669
184,718232,405,S,7,33.805815,-118.143415
185,769263,405,N,7,33.963205,-118.369661
186,761444,405,N,7,33.873958,-118.342856
187,718479,405,S,7,33.89032,-118.360662
188,769259,405,N,7,33.952042,-118.369045
189,717715,405,N,7,33.813802,-118.168227
190,772437,405,N,7,34.013859,-118.419645
191,772532,405,S,7,34.026631,-118.430023
192,764671,405,S,7,33.990121,-118.401139
193,764572,405,S,7,33.963142,-118.369897
194,718242,405,S,7,33.815698,-118.186295
195,717744,405,N,7,33.859955,-118.307741
196,717709,405,N,7,33.806208,-118.144497
197,716663,405,N,7,33.858551,-118.287766
198,772455,405,N,7,34.019206,-118.423854
199,772527,405,S,7,34.018854,-118.423874
200,762545,405,N,7,33.832936,-118.25697
201,717711,405,N,7,33.812037,-118.162485
202,762582,405,S,7,33.802649,-118.128338
203,767847,405,S,7,33.914766,-118.370486
204,771939,405,N,7,33.835595,-118.259571
205,759422,405,S,7,33.914766,-118.370486
206,761440,405,S,7,33.861991,-118.318254
207,718256,405,S,7,33.840128,-118.264312
208,717740,405,N,7,33.859338,-118.289828
209,718296,405,S,7,34.010121,-118.416943
210,718227,405,N,7,33.802923,-118.133344
211,716720,405,N,7,34.042287,-118.44249
212,764596,405,S,7,33.928621,-118.368522
213,772456,405,S,7,34.019097,-118.424066
214,763267,110,S,7,33.980182,-118.281036
215,759418,110,S,7,33.923292,-118.281555
216,763447,110,S,7,34.018314,-118.280127
217,716499,110,N,7,33.951161,-118.279899
218,716484,110,N,7,33.884861,-118.285153
219,763400,110,N,7,33.960648,-118.280531
220,763413,110,S,7,33.976848,-118.281038
221,718164,110,N,7,33.989159,-118.280238
222,763392,110,N,7,33.958618,-118.280545
223,766337,110,S,7,33.855273,-118.2849
224,763272,110,S,7,33.968828,-118.28101
225,763532,110,N,7,33.845433,-118.285155
226,763522,110,N,7,33.81107,-118.287268
227,763275,110,S,7,33.968828,-118.28101
